"Z13_1","Z13_2"
0.463703047949821,0.900677937315777
0.222694202326238,0.983834105310962
0.442133117699996,0.0534025847446173
0.213325260905549,0.056582709774375
0.346428985707462,0.456081493292004
0.584215996786952,0.533798491116613
0.0635060321073979,0.207501992816105
0.331565889064223,0.542207564692944
0.793691319879144,0.551094878697768
0.680837942054495,0.250608217902482
0.856891382019967,0.912379757035524
0.937444997951388,0.0338208915200084
0.55345403868705,0.730348277371377
0.84114697878249,0.669616783503443
0.0421045848634094,0.552911614766344
0.95482035772875,0.70870725880377
0.877968518994749,0.193583833985031
0.908756835618988,0.947362306062132
0.555110962828621,0.033906091703102
0.100247984752059,0.896309127332643
0.59816497983411,0.435192598728463
0.952811703085899,0.1736895814538
0.587247602408752,0.792197012575343
0.788828362477943,0.372775448486209
0.440749025903642,0.359074723906815
0.693540111882612,0.37909849290736
0.313058939529583,0.505698205903172
0.472166695864871,0.972831092076376
0.667590849334374,0.0358230844140053
0.704150796169415,0.574369487352669
0.963063074043021,0.73730941908434
0.81434346945025,0.393406454473734
0.637303258990869,0.87497780052945
0.11251296964474,0.213175378739834
0.5166703495197,0.24647448444739
0.141871517291293,0.0104747181758285
0.423501567915082,0.0670736574102193
0.658693436300382,0.0731728272512555
0.199357261415571,0.278890990652144
0.888197937281802,0.311701330123469
0.978102084482089,0.893233836861327
0.892899699741974,0.154092982411385
0.657501315232366,0.982450257986784
0.195287138689309,0.797309156507254
0.748461445095018,0.468678138684481
0.931630356470123,0.370986518217251
0.451970925321802,0.255362289492041
0.371289619477466,0.369240574538708
0.816078946692869,0.678836954059079
0.323186362162232,0.414196960628033
0.567264830227941,0.34171845507808
0.412217387231067,0.466347362380475
0.61176318442449,0.49961524317041
0.984333662549034,0.607889550505206
0.159485829994082,0.940205527236685
0.754196541151032,0.437011774396524
0.460527803516015,0.53385481890291
0.795100308489054,0.527873974991962
0.374721377156675,0.231810640543699
0.851371876429766,0.664019490825012
0.842213836032897,0.225113681750372
0.656843374250457,0.504851801786572
0.637335840379819,0.170363757759333
0.227019230602309,0.960750866215676
0.875242707785219,0.223716372158378
0.57690916582942,0.651708966586739
0.870312998769805,0.38962668995373
0.820103770820424,0.823775287950411
0.707993823103607,0.227878062753007
0.952468694187701,0.237200584961101
0.28909058868885,0.71939586289227
0.373216218082234,0.115208329400048
0.140193645842373,0.000702844699844718
0.831280873389915,0.265382300363854
0.198543687816709,0.00704051647335291
0.205349204828963,0.736660249298438
0.0225530117750168,0.619499950436875
0.518421429209411,0.896062979940325
0.746035693213344,0.880665669450536
0.136197144864127,0.313728012610227
0.621511049568653,0.947949032997712
0.653483518864959,0.936822129413486
0.554080572444946,0.038188561797142
0.634365062229335,0.893934638705105
0.0845596012659371,0.000702620018273592
0.532702329335734,0.882337986491621
0.857102345442399,0.509786448907107
0.0424443886149675,0.350999740650877
0.874214546056464,0.616392290685326
0.363007877953351,0.8056077985093
0.583946727914736,0.23337566992268
0.560418635141104,0.792386028217152
0.754214064683765,0.906899562804028
0.802722485037521,0.754289546282962
0.112920925719664,0.42234499193728
0.912290562177077,0.222626664908603
0.87802921468392,0.899211812531576
0.383046008180827,0.727815832011402
0.750913554336876,0.102518579689786
0.892763838171959,0.533807932166383
0.433843793347478,0.599753215676174
0.654889336088672,0.630978769389912
0.269192700274289,0.0976661893073469
0.711722310166806,0.110254463739693
0.605770799331367,0.12469832203351
0.605844332138076,0.325445764465258
0.697343379259109,0.670724568888545
0.836933880578727,0.191097329603508
0.931202051229775,0.107238918775693
0.901973696658388,0.809846099000424
0.568290849449113,0.418532339157537
0.055828589014709,0.881859205430374
0.883264800067991,0.770285623380914
0.416196629637852,0.993986184243113
0.146524474723265,0.200263833161443
0.140981754520908,0.693147725425661
0.295278501464054,0.154344390844926
0.210598013130948,0.747244594153017
0.12797611951828,0.925150209339336
0.430157315917313,0.11545303137973
0.459117142483592,0.440962499706075
0.476121419342235,0.104947260348126
0.0145846595987678,0.472081654705107
0.692303163232282,0.742194856749848
0.502515779342502,0.166252763941884
0.778015463845804,0.131504001794383
0.59192847693339,0.892640221631154
0.574373372131959,0.376595654059201
0.798442496685311,0.171809328487143
0.793844911968336,0.280512698926032
0.354341718368232,0.306591165019199
0.362243919400498,0.509230308001861
0.351137491408736,0.210773910628632
0.133204076439142,0.909919337369502
0.635360894724727,0.245733611751348
