"Z12_1","Z12_2","Z12_3"
0.463703047949821,0.900677937315777,0.827189926523715
0.222694202326238,0.983834105310962,0.768411661498249
0.442133117699996,0.0534025847446173,0.172057708958164
0.213325260905549,0.056582709774375,0.735049433307722
0.346428985707462,0.456081493292004,0.658871425315738
0.584215996786952,0.533798491116613,0.548170266672969
0.0635060321073979,0.207501992816105,0.452212544623762
0.331565889064223,0.542207564692944,0.920675439760089
0.793691319879144,0.551094878697768,0.293566333828494
0.680837942054495,0.250608217902482,0.923643281450495
0.856891382019967,0.912379757035524,0.0599478611256927
0.937444997951388,0.0338208915200084,0.233581569045782
0.55345403868705,0.730348277371377,0.724210912594572
0.84114697878249,0.669616783503443,0.175682707456872
0.0421045848634094,0.552911614766344,0.293437311192974
0.95482035772875,0.70870725880377,0.91276096762158
0.877968518994749,0.193583833985031,0.900922340340912
0.908756835618988,0.947362306062132,0.101725267246366
0.555110962828621,0.033906091703102,0.329366570338607
0.100247984752059,0.896309127332643,0.875591384945437
0.59816497983411,0.435192598728463,0.676688520703465
0.952811703085899,0.1736895814538,0.890812397468835
0.587247602408752,0.792197012575343,0.0720110815018415
0.788828362477943,0.372775448486209,0.376238082302734
0.440749025903642,0.359074723906815,0.745398126775399
0.693540111882612,0.37909849290736,0.517914510564879
0.313058939529583,0.505698205903172,0.793169080279768
0.472166695864871,0.972831092076376,0.666806013789028
0.667590849334374,0.0358230844140053,0.978078079177067
0.704150796169415,0.574369487352669,0.62209989503026
0.963063074043021,0.73730941908434,0.535650263773277
0.81434346945025,0.393406454473734,0.636762723326683
0.637303258990869,0.87497780052945,0.623911581235006
0.11251296964474,0.213175378739834,0.309272376354784
0.5166703495197,0.24647448444739,0.534530261764303
0.141871517291293,0.0104747181758285,0.572605115361512
0.423501567915082,0.0670736574102193,0.751941107213497
0.658693436300382,0.0731728272512555,0.11539640580304
0.199357261415571,0.278890990652144,0.660235948860645
0.888197937281802,0.311701330123469,0.465697466861457
0.978102084482089,0.893233836861327,0.529762716032565
0.892899699741974,0.154092982411385,0.920468111522496
0.657501315232366,0.982450257986784,0.580913533689454
0.195287138689309,0.797309156507254,0.915034560253844
0.748461445095018,0.468678138684481,0.178089362103492
0.931630356470123,0.370986518217251,0.909738318296149
0.451970925321802,0.255362289492041,0.749927977565676
0.371289619477466,0.369240574538708,0.614651038777083
0.816078946692869,0.678836954059079,0.860664412379265
0.323186362162232,0.414196960628033,0.196412693476304
0.567264830227941,0.34171845507808,0.643427285598591
0.412217387231067,0.466347362380475,0.0173123585991561
0.61176318442449,0.49961524317041,0.678500132169574
0.984333662549034,0.607889550505206,0.682884762762114
0.159485829994082,0.940205527236685,0.14613848272711
0.754196541151032,0.437011774396524,0.29668571986258
0.460527803516015,0.53385481890291,0.177427559159696
0.795100308489054,0.527873974991962,0.0565754272975028
0.374721377156675,0.231810640543699,0.566659361356869
0.851371876429766,0.664019490825012,0.59523842879571
0.842213836032897,0.225113681750372,0.820077910786495
0.656843374250457,0.504851801786572,0.997684197034687
0.637335840379819,0.170363757759333,0.786251054611057
0.227019230602309,0.960750866215676,0.567679710686207
0.875242707785219,0.223716372158378,0.481800378998742
0.57690916582942,0.651708966586739,0.0200324519537389
0.870312998769805,0.38962668995373,0.403162147849798
0.820103770820424,0.823775287950411,0.634179487358779
0.707993823103607,0.227878062753007,0.945320235798135
0.952468694187701,0.237200584961101,0.329324332997203
0.28909058868885,0.71939586289227,0.720673687756062
0.373216218082234,0.115208329400048,0.241020170273259
0.140193645842373,0.000702844699844718,0.469816120574251
0.831280873389915,0.265382300363854,0.0748378348071128
0.198543687816709,0.00704051647335291,0.971672585932538
0.205349204828963,0.736660249298438,0.190990421688184
0.0225530117750168,0.619499950436875,0.770231627393514
0.518421429209411,0.896062979940325,0.94121431466192
0.746035693213344,0.880665669450536,0.33737914939411
0.136197144864127,0.313728012610227,0.350204874528572
0.621511049568653,0.947949032997712,0.359136438695714
0.653483518864959,0.936822129413486,0.765453744214028
0.554080572444946,0.038188561797142,0.183415085077286
0.634365062229335,0.893934638705105,0.0820626465138048
0.0845596012659371,0.000702620018273592,0.0378284794278443
0.532702329335734,0.882337986491621,0.577988730743527
0.857102345442399,0.509786448907107,0.52317341719754
0.0424443886149675,0.350999740650877,0.0147638851776719
0.874214546056464,0.616392290685326,0.926858539925888
0.363007877953351,0.8056077985093,0.193936626659706
0.583946727914736,0.23337566992268,0.432480055605993
0.560418635141104,0.792386028217152,0.413850356359035
0.754214064683765,0.906899562804028,0.567810394568369
0.802722485037521,0.754289546282962,0.0969101758673787
0.112920925719664,0.42234499193728,0.927143844077364
0.912290562177077,0.222626664908603,0.688347741495818
0.87802921468392,0.899211812531576,0.622436889447272
0.383046008180827,0.727815832011402,0.597430022666231
0.750913554336876,0.102518579689786,0.544281020294875
0.892763838171959,0.533807932166383,0.918561766156927
0.433843793347478,0.599753215676174,0.333859695121646
0.654889336088672,0.630978769389912,0.130729153053835
0.269192700274289,0.0976661893073469,0.75606820336543
0.711722310166806,0.110254463739693,0.0606931692454964
0.605770799331367,0.12469832203351,0.488254207186401
0.605844332138076,0.325445764465258,0.701922943815589
0.697343379259109,0.670724568888545,0.993381776846945
0.836933880578727,0.191097329603508,0.961276501184329
0.931202051229775,0.107238918775693,0.279991237912327
0.901973696658388,0.809846099000424,0.978804973885417
0.568290849449113,0.418532339157537,0.197374439798295
0.055828589014709,0.881859205430374,0.9114405491855
0.883264800067991,0.770285623380914,0.975570123875514
0.416196629637852,0.993986184243113,0.0387687887996435
0.146524474723265,0.200263833161443,0.503175950376317
0.140981754520908,0.693147725425661,0.436622192151845
0.295278501464054,0.154344390844926,0.442533852299675
0.210598013130948,0.747244594153017,0.778638533316553
0.12797611951828,0.925150209339336,0.210747614502907
0.430157315917313,0.11545303137973,0.883178540505469
0.459117142483592,0.440962499706075,0.889874294167385
0.476121419342235,0.104947260348126,0.882061157375574
0.0145846595987678,0.472081654705107,0.973813454154879
0.692303163232282,0.742194856749848,0.430132456123829
0.502515779342502,0.166252763941884,0.15814015455544
0.778015463845804,0.131504001794383,0.887696100398898
0.59192847693339,0.892640221631154,0.0976053599733859
