"Grid.Times","Hazard.Rates"
0,0.885912643332461
0.00102040816326531,0.888858990263749
0.00204081632653061,0.879546779106243
0.00306122448979592,0.89438286926326
0.00408163265306122,0.903250158020032
0.00510204081632653,0.908014874870458
0.00612244897959184,0.905769452067151
0.00714285714285714,0.90359320669585
0.00816326530612245,0.898345933676668
0.00918367346938776,0.895150526921529
0.0102040816326531,0.879732431390733
0.0112244897959184,0.878569108674088
0.0122448979591837,0.883469737554102
0.013265306122449,0.885271844162357
0.0142857142857143,0.872808275169095
0.0153061224489796,0.872505496851555
0.0163265306122449,0.867182624833374
0.0173469387755102,0.848569060537218
0.0183673469387755,0.868669750653243
0.0193877551020408,0.851016797881494
0.0204081632653061,0.876386778790039
0.0214285714285714,0.880332429858778
0.0224489795918367,0.869860252903901
0.023469387755102,0.885065901109838
0.0244897959183673,0.90021804489844
0.0255102040816327,0.894830678719935
0.026530612244898,0.89354705170474
0.0275510204081633,0.898343653828442
0.0285714285714286,0.913577572963327
0.0295918367346939,0.916439848844057
0.0306122448979592,0.894701261071513
0.0316326530612245,0.889326269769542
0.0326530612244898,0.876736073013086
0.0336734693877551,0.87959505803132
0.0346938775510204,0.873168978380405
0.0357142857142857,0.871837873430235
0.036734693877551,0.889217552815238
0.0377551020408163,0.876387936229323
0.0387755102040816,0.866823146424547
0.0397959183673469,0.861365817570567
0.0408163265306122,0.944764249640126
0.0418367346938776,1.01591486525099
0.0428571428571429,1.11542791378914
0.0438775510204082,1.19536460299525
0.0448979591836735,1.28597585494601
0.0459183673469388,1.36941041751348
0.0469387755102041,1.45422363973979
0.0479591836734694,1.560051402211
0.0489795918367347,1.64536089359431
0.05,1.75083394939301
